immig_status,age,total_pop,medicaid,medicaid_rate
Undocumented,34,280211.02081348037,22293.2212582642,0.07955868828265486
Undocumented,35,327110.2969462292,26134.21614097423,0.07989420200144359
Undocumented,36,306499.77659230237,22656.242513845842,0.07391927904724889
Undocumented,37,294410.68556544237,25116.93198002038,0.08531256918131569
Undocumented,38,317749.18134686624,29920.621527294497,0.09416427573618856
Undocumented,39,307538.44889029226,30194.189469992623,0.0981802099182849
Undocumented,40,347654.9416367569,33612.9577396126,0.09668482657362223
Undocumented,41,299387.7920213557,30433.242854791857,0.10165158254890037
Undocumented,42,311655.01006263314,35321.02577516933,0.11333373324584411
Undocumented,43,301754.5881922553,34465.17217162184,0.11421590100119117
Undocumented,44,310966.02619571664,28870.930516266657,0.09284271619464884
Undocumented,45,293722.9201209392,35418.08234883999,0.1205833114224002
Undocumented,46,280584.8033703909,33384.21797071177,0.11898084846256746
Undocumented,47,279691.5568192264,32842.61205908527,0.11742439576147985
Undocumented,48,261205.31869019906,30352.255262418377,0.11620075507887143
Undocumented,49,267942.90285430144,28506.901016067703,0.10639170029283747
Undocumented,50,272488.95992466697,30746.67094664267,0.11283639144552123
Undocumented,51,238301.45937522114,31343.90894777973,0.13153049515499068
Undocumented,52,217541.56719806558,29104.598553312462,0.13378867739246142
Undocumented,53,224618.5562272853,24179.197593778572,0.1076455925988248
Undocumented,54,197131.78913427395,22965.64250644643,0.11649893001683083
Undocumented,55,180872.30231834666,23918.897900822216,0.13224190544511036
Undocumented,56,165037.3630482338,23820.874023198627,0.14433624958147653
Undocumented,57,153905.06539380914,21813.32511810712,0.1417323404027777
Undocumented,58,140519.45232341948,16182.84504660484,0.11516444719239592
Undocumented,59,132695.9044714289,17062.961765573942,0.12858695099552084
Undocumented,60,135762.34411396045,18493.31722633601,0.13621831110114385
Undocumented,61,119166.20769028316,16109.516043477603,0.13518527068803562
Undocumented,62,101454.01046687282,14077.712458177513,0.13875954625543588
Undocumented,63,83864.23882766276,12179.249225622087,0.14522577675390216
Undocumented,64,81687.95219860568,12834.011554456814,0.1571102128163751
Undocumented,65,44777.18316021143,0,0
Undocumented,66,37789.919480716955,0,0
Undocumented,67,32173.98008556051,0,0
Undocumented,68,33232.05618353914,0,0
Undocumented,69,28869.129444298396,0,0
Undocumented,70,26191.942343966184,0,0
Undocumented,71,19206.564683098033,0,0
Undocumented,72,20537.944270482807,0,0
Undocumented,73,19338.71418291995,0,0
Undocumented,74,13462.78948544605,0,0
Undocumented,75,15027.362052446337,0,0
Undocumented,76,14547.22627106988,0,0
Undocumented,77,9647.559279787034,0,0
Undocumented,78,8877.13602989724,0,0
Undocumented,79,6470.011291331542,0,0
Undocumented,80,7483.254975682921,0,0
Undocumented,81,4874.096646438165,0,0
Undocumented,82,5097.756112927132,0,0
Undocumented,83,4756.157402704999,0,0
Undocumented,84,3426.990950363096,0,0
Undocumented,85,4876.4953803792805,0,0
Undocumented,86,4714.663283914459,0,0
Undocumented,87,3104.3236378746974,0,0
Undocumented,88,3532.9495051774365,0,0
Undocumented,89,1177.920836569975,0,0
Undocumented,90,964.5826405619943,0,0
Undocumented,91,349.8915846976658,0,0
Undocumented,92,2856.327429564085,0,0
Undocumented,93,647.8428723264171,0,0
Undocumented,94,2000.2589810198758,0,0
Undocumented,95,2106.9871121927495,0,0
