year,nh_occ_group,status,n,workers,group_total,share
2017,LPNs/LVNs,Native-born citizens,2169,215425,256697,0.8392190013907447
2017,LPNs/LVNs,Legal immigrants,334,41272,256697,0.16078099860925527
2017,LPNs/LVNs,Illegal immigrants,0,0,256697,0
2017,Personal care aides,Native-born citizens,596,66849,91070.18442908884,0.7340382631161959
2017,Personal care aides,Legal immigrants,159,19414,91070.18442908884,0.21317624557043227
2017,Personal care aides,Illegal immigrants,37,4807.1844290888475,91070.18442908884,0.052785491313371916
2017,Other healthcare practitioners,Native-born citizens,843,83020,101126.87810345234,0.8209489065317621
2017,Other healthcare practitioners,Legal immigrants,151,16249,101126.87810345234,0.16067933970410267
2017,Other healthcare practitioners,Illegal immigrants,8,1857.8781034523465,101126.87810345234,0.018371753764135242
2017,Other healthcare support,Native-born citizens,677,68906,80816.71146961153,0.8526206863280973
2017,Other healthcare support,Legal immigrants,85,10117,80816.71146961153,0.12518450473951995
2017,Other healthcare support,Illegal immigrants,14,1793.7114696115307,80816.71146961153,0.022194808932382716
2017,Food preparation & serving,Native-born citizens,1291,129488,150391.5052824203,0.8610060771506637
2017,Food preparation & serving,Legal immigrants,125,14807,150391.5052824203,0.09845635876969198
2017,Food preparation & serving,Illegal immigrants,38,6096.5052824202785,150391.5052824203,0.04053756407964431
2017,Building cleaning & maintenance,Native-born citizens,1087,108397,135062.05304673716,0.8025718368318455
2017,Building cleaning & maintenance,Legal immigrants,154,19022,135062.05304673716,0.14083896676305954
2017,Building cleaning & maintenance,Illegal immigrants,51,7643.053046737151,135062.05304673716,0.05658919640509487
2017,Office & administrative support,Native-born citizens,1012,95132,107930.39136913455,0.8814199484799183
2017,Office & administrative support,Legal immigrants,85,11037,107930.39136913455,0.10226035373347411
2017,Office & administrative support,Illegal immigrants,10,1761.391369134547,107930.39136913455,0.016319697786607506
2017,Management,Native-born citizens,1039,96572,104946.51578315442,0.9202020598715421
2017,Management,Legal immigrants,79,7234,104946.51578315442,0.06893034938813254
2017,Management,Illegal immigrants,12,1140.5157831544257,104946.51578315442,0.010867590740325431
2017,All other occupations,Native-born citizens,1890,172332,196992.9518241248,0.8748130245485023
2017,All other occupations,Legal immigrants,172,20490,196992.9518241248,0.10401387364505031
2017,All other occupations,Illegal immigrants,30,4170.951824124793,196992.9518241248,0.021173101806447457
2018,Nursing/psych/home health aides,Native-born citizens,5078,547159,677487.5284989495,0.8076296270903951
2018,Nursing/psych/home health aides,Legal immigrants,830,108321,677487.5284989495,0.15988633804078647
2018,Nursing/psych/home health aides,Illegal immigrants,139,22007.528498949483,677487.5284989495,0.032484034868818415
2018,Registered nurses,Native-born citizens,2365,218706,273966,0.7982961389369484
2018,Registered nurses,Legal immigrants,488,55260,273966,0.20170386106305163
2018,Registered nurses,Illegal immigrants,0,0,273966,0
2018,LPNs/LVNs,Native-born citizens,2152,212407,250415,0.8482199548749076
2018,LPNs/LVNs,Legal immigrants,324,38008,250415,0.15178004512509236
2018,LPNs/LVNs,Illegal immigrants,0,0,250415,0
2018,Personal care aides,Native-born citizens,717,81488,105514.99165100284,0.7722883613498871
2018,Personal care aides,Legal immigrants,171,19334,105514.99165100284,0.1832346256913744
2018,Personal care aides,Illegal immigrants,37,4692.991651002848,105514.99165100284,0.04447701295873859
2018,Other healthcare practitioners,Native-born citizens,1053,109964,128844.85411264017,0.8534605495681346
2018,Other healthcare practitioners,Legal immigrants,164,18353,128844.85411264017,0.14244263091760917
2018,Other healthcare practitioners,Illegal immigrants,3,527.8541126401619,128844.85411264017,0.004096819514256235
2018,Other healthcare support,Native-born citizens,588,58887,64799.42409132056,0.908758076568886
2018,Other healthcare support,Legal immigrants,49,5096,64799.42409132056,0.07864267424380667
2018,Other healthcare support,Illegal immigrants,6,816.4240913205545,64799.42409132056,0.012599249187307343
2018,Food preparation & serving,Native-born citizens,1269,126523,149141.4128892062,0.8483425062761816
2018,Food preparation & serving,Legal immigrants,133,17171,149141.4128892062,0.1151323409598912
2018,Food preparation & serving,Illegal immigrants,27,5447.41288920621,149141.4128892062,0.03652515276392728
2018,Building cleaning & maintenance,Native-born citizens,1111,109437,135353.5007448473,0.8085272962854351
2018,Building cleaning & maintenance,Legal immigrants,161,21074,135353.5007448473,0.15569600995933056
2018,Building cleaning & maintenance,Illegal immigrants,30,4842.500744847303,135353.5007448473,0.03577669375523448
2018,Office & administrative support,Native-born citizens,1026,92373,101262.12211568495,0.9122167111456567
2018,Office & administrative support,Legal immigrants,82,7409,101262.12211568495,0.0731665488062331
2018,Office & administrative support,Illegal immigrants,11,1480.122115684944,101262.12211568495,0.014616740048110064
