year,statefip,n,population
2014,15,889,104184.18143028536
2014,16,454,67886.9039461321
2014,17,6275,900628.0929821178
2014,18,1366,205920.53320686007
2014,19,588,101670.81676904099
2014,20,808,129887.53466847313
2014,21,752,107955.7486391767
2014,22,843,114689.75424007395
2014,23,203,24690.589301052587
2014,24,3503,469631.48389210016
2014,25,4363,521776.7963065954
2014,26,2294,325308.28313557943
2014,27,1047,226949.0775705516
2014,28,344,41613.616021594426
2014,29,879,122917.30063691495
2014,30,99,12602.658610358149
2014,31,476,79475.6274225345
2014,32,2352,302874.3537228627
2014,33,297,37021.95418359441
2014,34,6967,917925.2355270839
2014,35,936,140249.04722637255
2014,36,15404,2095038.431857147
2014,37,3674,519560.0262881319
2014,38,105,18532.655365015376
2014,39,1906,254822.71353004803
2014,40,1091,156998.99443391204
2014,41,1713,234451.41709910383
2014,42,2688,408025.8591494705
2014,44,557,68483.89000310321
2014,45,1062,145135.6024977238
2014,46,104,13056.006184884416
2014,47,1511,218468.248788726
2014,48,22430,3044420.6366003356
2014,49,1060,162139.97935050752
2014,50,102,12528.052676625675
2014,51,3801,549737.9851104603
2014,53,3894,521607.5831348511
2014,54,126,15015.466840640614
2014,55,919,154167.1221297398
2014,56,102,16074.765055197286
2015,1,681,105474.2565902873
2015,2,174,28509.11347434349
2015,4,4216,544164.2619183494
2015,5,629,102880.3357186661
2015,6,45261,5498462.759498461
2015,8,2357,341307.629788048
2015,9,2053,273341.5797255334
2015,10,380,53924.13210909605
2015,11,430,56179.53163417653
2015,12,14577,1941318.5225743814
2015,13,4309,623879.6258832569
2015,15,902,108023.38684328376
2015,16,436,65743.65568573138
2015,17,6634,976512.4000281277
2015,18,1470,200127.11065222457
2015,19,518,92179.93145770358
2015,20,922,144232.16130387125
2015,21,754,109834.76090922217
2015,22,827,116473.51825382654
2015,23,167,18452.287840643243
2015,24,3395,477507.8990017108
2015,25,4415,547206.2271886035
2015,26,2193,316369.76811869285
2015,27,1168,241920.20203962413
2015,28,411,47837.88509917864
2015,29,1039,134585.5618953704
2015,30,80,9569.84664213176
2015,31,465,78323.15196683296
2015,32,2217,305227.1637451376
2015,33,292,35900.3841548313
2015,34,6818,912626.2255156788
2015,35,881,130830.1501065004
2015,36,15323,2078386.8226889228
2015,37,3615,517774.842197639
2015,38,92,12635.314976280477
2015,39,1972,266284.91849071917
2015,40,1100,159593.99897599686
2015,41,1622,228108.993980841
2015,42,2741,410995.36301429354
2015,44,520,69182.42001747349
2015,45,1108,147415.13531739416
2015,46,99,18477.40702425598
2015,47,1493,213915.7257698929
2015,48,22907,3076272.542624541
2015,49,941,150549.49488671942
2015,50,89,12784.197742070086
2015,51,3756,516874.8379214766
2015,53,4207,536440.3890567296
2015,54,126,15622.138228201411
2015,55,941,162651.31581326557
2015,56,82,11998.13300426182
2016,1,750,100168.80530092942
2016,2,169,22022.283876575875
2016,4,4449,557277.7089479867
2016,5,650,93012.21297802862
2016,6,44720,5456112.013920594
2016,8,2293,337226.172330432
2016,9,1943,256864.59443865574
2016,10,328,48053.207700471874
2016,11,414,52634.907200287846
2016,12,14271,1967910.2245526412
2016,13,4518,636171.1863472406
2016,15,925,117560.19712942514
2016,16,425,61460.178706142135
2016,17,6253,924284.0726492233
