year,statefip,n_before,pop_before,n_after,pop_after,pop_change,pct_change
2018,20,62,9980,62,9980,0,0
2018,21,120,18486,120,18486,0,0
2018,22,108,13581,108,13581,0,0
2018,23,36,5355,36,5355,0,0
2018,24,541,66103,541,66103,0,0
2018,25,1319,198982,1319,198982,0,0
2018,26,387,62322,387,62322,0,0
2018,27,266,60574,266,60574,0,0
2018,28,13,2307,13,2307,0,0
2018,29,89,13859,89,13859,0,0
2018,30,15,2196,15,2196,0,0
2018,31,75,14078,75,14078,0,0
2018,32,259,34901,259,34901,0,0
2018,33,34,3927,34,3927,0,0
2018,34,870,115798,870,117295.56302303298,1497.5630230329843,1.2932546529585869
2018,35,181,31592,181,31592,0,0
2018,36,4738,638946,4738,642029.9235039572,3083.923503957223,0.48265792476316044
2018,37,272,35064,272,35064,0,0
2018,38,11,1800,11,1800,0,0
2018,39,249,36569,249,36569,0,0
2018,40,104,13252,104,13252,0,0
2018,41,308,47798,308,48049.16346155484,251.16346155483916,0.5254685584226101
2018,42,417,67412,417,67412,0,0
2018,44,110,17117,110,17117,0,0
2018,45,88,10855,88,10855,0,0
2018,46,6,733,6,733,0,0
2018,47,142,20568,142,20568,0,0
2018,48,2215,294333,2215,294333,0,0
2018,49,69,10393,69,10393,0,0
2018,50,14,1965,14,1965,0,0
2018,51,238,29945,238,29945,0,0
2018,53,664,90247,664,91513.49074959046,1266.4907495904627,1.4033604990641935
2018,54,12,2196,12,2196,0,0
2018,55,101,17788,101,17788,0,0
2018,56,3,578,3,578,0,0
2019,1,55,9199,55,9199,0,0
2019,2,12,2308,12,2308,0,0
2019,4,680,103524,680,103524,0,0
2019,5,35,5912,35,5912,0,0
2019,6,11327,1435406,11327,1441846.7962440199,6440.796244019875,0.44870902337177604
2019,8,209,31756,209,31756,0,0
2019,9,258,35277,258,35469.998537153115,192.99853715311474,0.5470945294472737
2019,10,53,7940,53,7940,0,0
2019,11,55,7193,55,7193,0,0
2019,12,1530,220979,1530,220979,0,0
2019,13,239,31319,239,31319,0,0
